chi2cdf table of deg 1
x	chi2cdf(x)	1-chi2cdf(x)
55.22	1.000000e-00	1.078027e-13
55.21	1.000000e-00	1.083578e-13
55.20	1.000000e-00	1.089129e-13
55.19	1.000000e-00	1.094680e-13
55.18	1.000000e-00	1.100231e-13
55.17	1.000000e-00	1.105782e-13
55.16	1.000000e-00	1.111333e-13
55.15	1.000000e-00	1.116884e-13
55.14	1.000000e-00	1.122435e-13
55.13	1.000000e-00	1.127987e-13
55.12	1.000000e-00	1.133538e-13
55.11	1.000000e-00	1.140199e-13
55.10	1.000000e-00	1.145750e-13
55.09	1.000000e-00	1.151301e-13
55.08	1.000000e-00	1.156852e-13
55.07	1.000000e-00	1.163514e-13
55.06	1.000000e-00	1.169065e-13
55.05	1.000000e-00	1.174616e-13
55.04	1.000000e-00	1.181277e-13
55.03	1.000000e-00	1.186828e-13
55.02	1.000000e-00	1.193490e-13
55.01	1.000000e-00	1.199041e-13
55.00	1.000000e-00	1.205702e-13
54.99	1.000000e-00	1.211253e-13
54.98	1.000000e-00	1.217915e-13
54.97	1.000000e-00	1.223466e-13
54.96	1.000000e-00	1.230127e-13
54.95	1.000000e-00	1.236788e-13
54.94	1.000000e-00	1.242340e-13
54.93	1.000000e-00	1.249001e-13
54.92	1.000000e-00	1.255662e-13
54.91	1.000000e-00	1.262324e-13
54.90	1.000000e-00	1.267875e-13
54.89	1.000000e-00	1.274536e-13
54.88	1.000000e-00	1.281197e-13
54.87	1.000000e-00	1.287859e-13
54.86	1.000000e-00	1.294520e-13
54.85	1.000000e-00	1.301181e-13
54.84	1.000000e-00	1.307843e-13
54.83	1.000000e-00	1.314504e-13
54.82	1.000000e-00	1.321165e-13
54.81	1.000000e-00	1.327827e-13
54.80	1.000000e-00	1.334488e-13
54.79	1.000000e-00	1.341149e-13
54.78	1.000000e-00	1.347811e-13
54.77	1.000000e-00	1.354472e-13
54.76	1.000000e-00	1.362244e-13
54.75	1.000000e-00	1.368905e-13
54.74	1.000000e-00	1.375566e-13
54.73	1.000000e-00	1.383338e-13
54.72	1.000000e-00	1.389999e-13
54.71	1.000000e-00	1.396661e-13
54.70	1.000000e-00	1.404432e-13
54.69	1.000000e-00	1.411093e-13
54.68	1.000000e-00	1.418865e-13
54.67	1.000000e-00	1.425526e-13
54.66	1.000000e-00	1.433298e-13
54.65	1.000000e-00	1.439959e-13
54.64	1.000000e-00	1.447731e-13
54.63	1.000000e-00	1.455502e-13
54.62	1.000000e-00	1.462164e-13
54.61	1.000000e-00	1.469935e-13
54.60	1.000000e-00	1.477707e-13
54.59	1.000000e-00	1.484368e-13
54.58	1.000000e-00	1.492140e-13
54.57	1.000000e-00	1.499911e-13
54.56	1.000000e-00	1.507683e-13
54.55	1.000000e-00	1.515454e-13
54.54	1.000000e-00	1.523226e-13
54.53	1.000000e-00	1.530998e-13
54.52	1.000000e-00	1.538769e-13
54.51	1.000000e-00	1.546541e-13
54.50	1.000000e-00	1.554312e-13
54.49	1.000000e-00	1.562084e-13
54.48	1.000000e-00	1.569855e-13
54.47	1.000000e-00	1.578737e-13
54.46	1.000000e-00	1.586509e-13
54.45	1.000000e-00	1.594280e-13
54.44	1.000000e-00	1.603162e-13
54.43	1.000000e-00	1.610934e-13
54.42	1.000000e-00	1.618705e-13
54.41	1.000000e-00	1.627587e-13
54.40	1.000000e-00	1.635359e-13
54.39	1.000000e-00	1.644240e-13
54.38	1.000000e-00	1.652012e-13
54.37	1.000000e-00	1.660894e-13
54.36	1.000000e-00	1.669775e-13
54.35	1.000000e-00	1.677547e-13
54.34	1.000000e-00	1.686429e-13
54.33	1.000000e-00	1.695311e-13
54.32	1.000000e-00	1.703082e-13
54.31	1.000000e-00	1.711964e-13
54.30	1.000000e-00	1.720846e-13
54.29	1.000000e-00	1.729727e-13
54.28	1.000000e-00	1.738609e-13
54.27	1.000000e-00	1.747491e-13
54.26	1.000000e-00	1.756373e-13
54.25	1.000000e-00	1.765255e-13
54.24	1.000000e-00	1.774136e-13
54.23	1.000000e-00	1.783018e-13
54.22	1.000000e-00	1.793010e-13
54.21	1.000000e-00	1.801892e-13
54.20	1.000000e-00	1.810774e-13
54.19	1.000000e-00	1.819656e-13
54.18	1.000000e-00	1.829648e-13
54.17	1.000000e-00	1.838529e-13
54.16	1.000000e-00	1.848521e-13
54.15	1.000000e-00	1.857403e-13
54.14	1.000000e-00	1.867395e-13
54.13	1.000000e-00	1.876277e-13
54.12	1.000000e-00	1.886269e-13
54.11	1.000000e-00	1.896261e-13
54.10	1.000000e-00	1.905143e-13
54.09	1.000000e-00	1.915135e-13
54.08	1.000000e-00	1.925127e-13
54.07	1.000000e-00	1.935119e-13
54.06	1.000000e-00	1.945111e-13
54.05	1.000000e-00	1.953993e-13
54.04	1.000000e-00	1.963985e-13
54.03	1.000000e-00	1.973977e-13
54.02	1.000000e-00	1.985079e-13
