	Degree	gal1RGexp	gal1RGsig	gal4RGexp	gal4RGsig	gal80Rexp	gal80Rsig
YMR186W	2.0	-0.032	0.52469	-0.032	0.4995	-0.608	1.6833E-14	
YMR255W	2.0	0.211	2.2142E-4	-0.159	0.11742	0.397	0.0029074	
YMR291W	1.0	-0.363	7.9783E-8	0.256	0.012617	-0.397	5.3037E-9	
YMR300C	1.0	-0.514	1.522E-9	-1.296	1.4734E-8	1.202	4.7716E-11	
YMR309C	3.0	0.0090	0.82076	-0.248	2.0319E-4	-0.123	0.1009	
YMR311C	1.0	0.214	0.0015202	0.021	0.64469	0.349	6.5604E-6	
YNL036W	1.0	0.998	4.2628E-11	0.506	1.601E-8	0.686	3.3349E-7	
YNL047C	2.0	0.14	0.0026155	-0.078	0.19124	0.029	0.7773	
YNL050C	1.0	0.301	1.425E-5	-0.448	0.0031926	0.594	7.5124E-4	
YNL069C	1.0	-0.346	2.6481E-7	-0.284	5.1994E-5	-0.124	0.026888	
YNL091W	3.0	0.288	1.9735E-6	0.154	0.026384	0.723	2.3704E-4	
YNL098C	1.0	0.05	0.20515	0.062	0.23242	0.293	1.0426E-4	
YNL113W	1.0	0.304	1.0276E-5	-0.979	4.8347E-7	0.789	0.0028937	
YNL116W	1.0	0.165	2.6759E-4	0.027	0.63152	0.358	2.7658E-4	
YNL117W	1.0	0.973	1.92E-11	0.452	9.0335E-5	0.941	1.2597E-5	
YNL135C	2.0	-0.071	0.047943	0.08	0.068027	-0.169	0.0016167	
YNL145W	3.0	-0.764	3.148E-11	-0.098	0.05338	-1.237	1.1916E-10	
YNL154C	2.0	-0.013	0.76333	-0.066	0.21924	-0.438	2.3558E-7	
YNL164C	1.0	0.272	7.3947E-4	-0.949	3.8499E-5	1.345	5.7872E-6	
YNL167C	2.0	0.095	0.024036	0.1	0.079913	-0.18	0.015501	
YNL189W	5.0	0.082	0.045195	0.014	0.79134	-0.573	1.4096E-8	
YNL199C	3.0	0.121	0.005054	-0.162	0.0077746	0.433	5.6535E-5	
YNL214W	2.0	0.122	0.166	0.041	0.64313	0.199	0.11918	
YNL216W	17.0	0.205	0.024692	0.015	0.93493	0.234	0.54155	
YNL236W	2.0	-0.146	0.018347	-0.218	0.053936	-0.141	0.39009	
YNL301C	1.0	-0.379	7.3086E-7	-0.245	1.0721E-4	-0.271	1.2267E-5	
YNL307C	2.0	-0.046	0.27844	0.094	0.029538	-0.063	0.37572	
YNL311C	2.0	-0.055	0.3444	-0.388	0.0089606	-0.169	0.12031	
YNL312W	2.0	0.028	0.47284	-0.111	0.034589	-0.121	0.24786	
YNR007C	2.0	0.078	0.061024	0.196	3.1083E-4	0.161	0.10191	
YNR050C	2.0	0.223	1.1825E-5	-0.131	0.0089039	0.647	1.1773E-7	
YNR053C	3.0	0.352	2.1301E-7	-0.238	0.0048783	-0.012	0.90581	
YOL016C	1.0	-0.365	6.846E-7	-0.108	0.024371	-0.138	0.027128	
YOL051W	5.0	0.171	0.001834	0.055	0.33923	0.111	0.30922	
YOL058W	2.0	-0.652	4.9342E-6	-0.541	4.0958E-7	-0.815	5.9432E-10	
YOL059W	1.0	-0.499	3.3837E-8	-0.29	2.3802E-5	-0.591	1.5256E-9	
YOL086C	2.0	-0.113	0.0039297	0.245	3.2186E-4	-0.322	1.3104E-5	
YOL120C	1.0	-0.409	1.7242E-7	-0.225	3.0221E-4	-0.62	3.898E-9	
YOL123W	2.0	0.245	9.8446E-6	0.126	0.0050114	-0.036	0.59496	
YOL127W	2.0	-0.192	4.4813E-4	-0.425	9.2415E-7	0.076	0.17224	
YOL136C	1.0	-0.646	1.9054E-8	-0.086	0.39614	-0.472	0.0081753	
YOL149W	2.0	0.228	9.0847E-5	-0.248	0.0015911	0.254	0.059331	
YOL156W	2.0	0.298	8.1828E-6	0.462	5.1939E-5	0.105	0.28091	
YOR036W	6.0	0.071	0.092135	0.037	0.43055	0.491	1.6313E-6	
YOR039W	1.0	-0.0060	0.87354	-0.058	0.20402	-0.0060	0.92034	
YOR089C	1.0	0.193	1.1748E-4	-0.042	0.32501	0.378	8.2229E-6	
YOR120W	1.0	0.194	9.0303E-5	-0.349	1.8298E-5	0.576	6.3927E-9	
YOR167C	4.0	-0.374	2.7303E-6	-0.239	1.0533E-4	-0.243	4.8633E-5	
YOR178C	3.0	-0.137	0.0010176	0.462	1.5883E-6	-0.187	0.0036854	
YOR202W	2.0	-0.432	0.010979	-0.71	1.7979E-4	0.239	0.0054895	
YOR204W	1.0	-0.033	0.39944	-0.056	0.31268	-0.91	8.349E-16	
YOR212W	2.0	-0.189	4.187E-5	-0.256	0.0010135	-0.158	0.023184	
YOR215C	1.0	0.151	7.0779E-4	0.137	0.010881	0.335	1.273E-4	
YOR264W	2.0	0.493	1.939E-8	0.237	0.016862	0.307	0.011809	
YOR290C	1.0	-0.119	0.0030289	-0.101	0.029664	-0.577	3.6284E-13	
YOR303W	2.0	-0.127	0.002137	-0.089	0.15221	0.403	1.5854E-4	
YOR310C	2.0	-0.073	0.055533	-0.499	1.7322E-6	-0.157	0.041898	
YOR315W	1.0	0.066	0.13594	-0.462	4.7159E-6	-0.063	0.50938	
YOR326W	2.0	0.51	5.9183E-9	0.432	8.2407E-8	0.296	1.1583E-4	
YOR327C	2.0	0.249	6.9534E-6	-0.112	0.06928	0.559	4.4793E-5	
YOR355W	2.0	-0.176	1.6613E-4	-0.044	0.45777	0.43	0.0062666	
YOR361C	3.0	-0.02	0.60784	-0.085	0.11638	-0.237	0.0031451	
YOR362C	1.0	0.036	0.31634	-0.043	0.2984	0.225	0.0013356	
YPL031C	2.0	-0.106	0.012838	0.125	0.0056375	-0.139	0.019984	
YPL075W	7.0	-0.373	2.4947E-7	-0.207	0.046834	-0.53	5.2661E-6	
YPL089C	2.0	-0.06	0.14513	-0.037	0.47601	0.209	0.0026491	
YPL111W	3.0	0.186	7.2553E-4	-0.26	1.8582E-4	0.957	5.2368E-11	
YPL131W	1.0	-0.228	1.0523E-5	-0.149	0.0049489	-0.246	1.4759E-4	
YPL149W	2.0	0.033	0.47027	0.116	0.043291	0.488	1.5579E-5	
YPL201C	1.0	2.058	6.0394E-10	1.18	8.9209E-7	0.597	0.0043411	
YPL211W	1.0	-0.231	0.0019352	-0.504	5.2826E-6	0.623	1.5609E-4	
