#GeneID Symbol Synonyms
421	ARVCF	FLJ35345
424	ARVD3	ARVD2
425	ARVD4	-
427	ASAH1	AC|ASAH|FLJ21558|FLJ22079|PHP|PHP32
429	ASCL1	ASH1|HASH1|MASH1
430	ASCL2	ASH2|HASH2|MASH2
431	ASD1	ASD2
432	ASGR1	ASGPR|CLEC4H1|Hs.12056
433	ASGR2	ASGP-R|CLEC4H2|Hs.1259|L-H2
434	ASIP	AGSW|AGTI|AGTIL|ASP|MGC126092|MGC126093
435	ASL	ASAL
436	ASLL	-
437	ASMD	ASOD
438	ASMT	ASMTY|HIOMT|HIOMTY
439	ASNA1	ARSA-I|ARSA1|MGC3821
440	ASNS	TS11
441	ASNSL1	-
442	ASNSL2	-
443	ASPA	ACY2|ASP
444	ASPH	BAH|CASQ2BP1|HAAH|JCTN|junctin
445	ASS1	ASS|CTLN1
446	ASSP1	-
447	ASSP2	-
448	ASSP3	-
449	ASSP4	-
450	ASSP5	-
451	ASSP6	-
452	ASSP7	-
453	ASSP8	-
454	ASSP9	-
455	ASSP10	-
456	ASSP11	-
458	ASSP13	-
459	ASSP14	-
460	ASTN1	ASTN|KIAA1747
462	SERPINC1	AT3|ATIII|MGC22579
463	ATBF1	ATBT|ZFHX3
465	ATD	-
466	ATF1	EWS-ATF1|TREB36
467	ATF3	-
468	ATF4	CREB-2|CREB2|TAXREB67|TXREB
469	ATF4P	TAXREB67P|TXREBP
470	ATHS	ALP
471	ATIC	AICAR|AICARFT|IMPCHASE|PURH
472	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|DKFZp781A0353|MGC74674|TEL1|TELO1
473	RERE	ARG|ARP|ATN1L|DNB1|FLJ38775|KIAA0458
474	ATOH1	ATH1|HATH1|MATH-1
475	ATOX1	ATX1|HAH1|MGC138453|MGC138455
476	ATP1A1	MGC3285|MGC51750
477	ATP1A2	FHM2|MGC59864|MHP2
478	ATP1A3	DYT12|MGC13276|RDP
479	ATP12A	ATP1AL1
480	ATP1A4	ATP1A1|ATP1AL2|MGC25056
481	ATP1B1	ATP1B|MGC1798
482	ATP1B2	AMOG
483	ATP1B3	ATPB-3|CD298|FLJ29027
484	ATP1B3P1	-
485	ATP1BL1	-
486	FXYD2	ATP1G1|HOMG2|MGC12372
487	ATP2A1	ATP2A|SERCA1
488	ATP2A2	ATP2B|DAR|DD|MGC45367|SERCA2
489	ATP2A3	SERCA3
490	ATP2B1	PMCA1
491	ATP2B2	PMCA2
492	ATP2B3	PMCA3
493	ATP2B4	ATP2B2|DKFZp686G08106|DKFZp686M088|MXRA1|PMCA4
494	ATP3	-
495	ATP4A	ATP6A
496	ATP4B	ATP6B
498	ATP5A1	ATP5A|ATP5AL2|ATPM|OMR|ORM|hATP1
500	ATP5AL1	-
501	ALDH7A1	ATQ1
503	ATP5AP1	-
504	ATP5AP2	-
505	ATP5AP3	-
506	ATP5B	ATPMB|ATPSB|MGC5231
507	ATP5BL1	ATPMBL1|ATPSBL1
508	ATP5BL2	ATPSBL2
509	ATP5C1	ATP5C|ATP5CL1
513	ATP5D	-
514	ATP5E	ATPE|MGC104243
515	ATP5F1	MGC24431|PIG47
516	ATP5G1	ATP5A|ATP5G
517	ATP5G2	-
518	ATP5G3	MGC125738|P3
520	ATP5GP1	-
521	ATP5I	ATP5K|MGC12532
522	ATP5J	ATP5|ATP5A|ATPM|CF6|F6
523	ATP6V1A	ATP6A1|ATP6V1A1|HO68|VA68|VPP2|Vma1
525	ATP6V1B1	ATP6B1|MGC32642|RTA1B|VATB|VMA2|VPP3
526	ATP6V1B2	ATP6B1B2|ATP6B2|HO57|VATB|VPP3|Vma2
527	ATP6V0C	ATP6C|ATP6L|ATPL|VATL|Vma3
528	ATP6V1C1	ATP6C|ATP6D|FLJ20057|VATC|Vma5
529	ATP6V1E1	ATP6E|ATP6E2|ATP6V1E|P31|Vma4
530	ATP6V1EL1	ATP6EL1
531	ATP6V1EP1	ATP6EP1
532	ATP6V1EP2	ATP6EP2
533	ATP6V0B	ATP6F|HATPL|VMA16
