ytsJ	;SET00214
ywkA	;SET00214
ilvA	;SET00220;SET00220;SET00996;SET00996;SET06131;SET06131
dsdA	;SET00221;SET06131
ycgN	;SET00245;SET00707;SET00708;SET04444;SET04445;SET05051
bsaA	;SET00274;SET07034;SET07035
tuaD	;SET00286
gtaB	;SET00289
glcK	;SET00299;SET01600;SET01786
hemH	;SET00310;SET03197;SET04972
yjmC	;SET00342
aspB	;SET00355;SET00694;SET00734;SET00896;SET02433;SET02619;SET05052
kbL	;SET00370;SET00371
mtbP	;SET00380;SET04858
alr	;SET00401
relA	;SET00429
kamA	;SET00461
kdgA	;SET00470;SET00470;SET00471;SET00471;SET05605;SET05605
ysfC	;SET00475;SET01341
yccC	;SET00485;SET06134
panD	;SET00489
yurG	;SET00493;SET04029;SET04051;SET04467;SET05507;SET06844;SET07659;SET08618;SET08622;SET08626;SET08630;SET08638;SET08643;SET08647;SET08679;SET08683;SET08714
ggt	;SET00494;SET01262;SET01687;SET03867;SET03916;SET03970;SET03971;SET04159;SET04935
ywrD	;SET00494;SET01262;SET01687;SET03867;SET03916;SET03970;SET03971;SET04159;SET04935
iolS	;SET00501;SET02528;SET02983;SET02993;SET03048;SET03234;SET03317;SET03544;SET03545;SET03792;SET04375;SET04810;SET04812;SET04919;SET05351;SET05581;SET05582;SET06891;SET06894;SET07658;SET07676;SET07759;SET08141;SET08379;SET08380;SET08380;SET08383;SET08442;SET08621;SET08625;SET08629;SET08636;SET08642;SET08646;SET08682
cysC	;SET00509;SET04928
sat	;SET00529;SET04929
speA	;SET00566
gbsB	;SET00623;SET00624;SET00754;SET01041;SET02124;SET04805;SET04880;SET05233;SET05234;SET06917;SET06927;SET07105;SET07326;SET07327;SET08281;SET08306;SET08310;SET08557;SET08558
yitJ	;SET00650
def	;SET00653;SET05635
ylmB	;SET00669
yodQ	;SET00669
pheA	;SET00691;SET01373
mtlD	;SET00758;SET02703
fbp	;SET00762;SET01845;SET04780
glmS	;SET00768
ydhS	;SET00772;SET01819
yjcJ	;SET00782;SET01285;SET01286;SET02408;SET04941
sacX	;SET00811;SET02630;SET02631;SET02704;SET02738;SET02780;SET03076;SET03232;SET04076;SET04111;SET04393;SET04394;SET05132;SET05199;SET05570;SET05820;SET06212;SET06229;SET06236;SET06237;SET07671;SET08366;SET08367;SET08559
zwf	;SET00835;SET02736
malA	;SET00837;SET00837;SET00838;SET00838;SET06113;SET06113;SET06115;SET06115
treA	;SET00837;SET00837;SET06113;SET06113
gpsA	;SET00842;SET00844
glpD	;SET00848;SET00848;SET00849;SET00849;SET08657;SET08657
tagD	;SET00856
gutB	;SET00875;SET00875;SET07145;SET07145
yrhA	;SET00897;SET00897;SET03132;SET03132;SET03601;SET03601;SET04859;SET04859
glyA	;SET00945;SET00945
yhxB	;SET00959;SET01057;SET01818;SET03319;SET08639
pyrR	;SET00966
upp	;SET00966
mgsA	;SET01016
prs	;SET01049
nudF	;SET01054
ywlF	;SET01056;SET01056
hisG	;SET01071
birA	;SET01074;SET05145;SET01074;SET04562;SET05145
bioB	;SET01078;SET01078
argH	;SET01086
ybgE	;SET01090;SET01214;SET02199;SET01090;SET01214;SET02199
lacA	;SET01105;SET01105;SET01106;SET01678;SET01678;SET03355;SET03355;SET03616;SET03616;SET04633;SET04633;SET04783;SET04783;SET05112;SET05112;SET05994;SET05994;SET06010;SET06098;SET06099;SET06114;SET06144;SET06202;SET07807
ypgA	;SET01123
guaB	;SET01130;SET01231;SET08240;SET08244
ddl	;SET01150
speB	;SET01157
hisD	;SET01158;SET01163;SET03012
idh	;SET01183;SET01183
yktC	;SET01185;SET01186;SET01187;SET07343
leuA	;SET01213;SET06010;SET06098;SET06099;SET06144;SET06202;SET07807
panB	;SET01216;SET01226
guaA	;SET01230;SET01231;SET08244
adeC	;SET01244;SET06137
menA	;SET01288;SET05555;SET05617;SET06858;SET07411
citB	;SET01324;SET01324;SET01325;SET01325;SET01900;SET01900
ydhT	;SET01332;SET08612
yngG	;SET01360
yxjF	;SET01361
fabI	;SET01403;SET04429;SET04724;SET04955;SET04958;SET04961;SET04966;SET04969
fabL	;SET01403;SET04429;SET04724;SET04955;SET04958;SET04961;SET04966;SET04969
ytnL	;SET01424
xynB	;SET01433;SET06203
tdh	;SET01465
thrC	;SET01466;SET05086
dhbA	;SET01505;SET01505
