HemB	;SET00036;SET00036
YlbI	;SET00084
HemC	;SET00084;SET00084
Ald	;SET00145;SET00146;SET00396
Bcd	;SET00145;SET00146;SET01088;SET01434;SET02196;SET03960;SET00145;SET00146;SET01088;SET01434;SET02196;SET03960
MetK	;SET00177;SET04771
SpeD	;SET00178;SET00178
Apt	;SET00190;SET01229;SET04378
Pps	;SET00199
Pyk	;SET00200;SET00430;SET00572;SET00659;SET00724;SET01138;SET01858;SET02320
YdaP	;SET00207
YtsJ	;SET00214
YwkA	;SET00214
IlvA	;SET00220;SET00220;SET00996;SET00996;SET06131;SET06131
DsdA	;SET00221;SET06131
YcgN	;SET00245;SET00707;SET00708;SET04444;SET04445;SET05051
BsaA	;SET00274;SET07034;SET07035
TuaD	;SET00286
GtaB	;SET00289
GlcK	;SET00299;SET01600;SET01786
HemH	;SET00310;SET03197;SET04972
YjmC	;SET00342
AspB	;SET00355;SET00694;SET00734;SET00896;SET02433;SET02619;SET05052
KbL	;SET00370;SET00371
MtbP	;SET00380;SET04858
Alr	;SET00401
RelA	;SET00429
KamA	;SET00461
KdgA	;SET00470;SET00470;SET00471;SET00471;SET05605;SET05605
YsfC	;SET00475;SET01341
YccC	;SET00485;SET06134
PanD	;SET00489
YurG	;SET00493;SET04029;SET04051;SET04467;SET05507;SET06844;SET07659;SET08618;SET08622;SET08626;SET08630;SET08638;SET08643;SET08647;SET08679;SET08683;SET08714
Ggt	;SET00494;SET01262;SET01687;SET03867;SET03916;SET03970;SET03971;SET04159;SET04935
YwrD	;SET00494;SET01262;SET01687;SET03867;SET03916;SET03970;SET03971;SET04159;SET04935
IolS	;SET00501;SET02528;SET02983;SET02993;SET03048;SET03234;SET03317;SET03544;SET03545;SET03792;SET04375;SET04810;SET04812;SET04919;SET05351;SET05581;SET05582;SET06891;SET06894;SET07658;SET07676;SET07759;SET08141;SET08379;SET08380;SET08380;SET08383;SET08442;SET08621;SET08625;SET08629;SET08636;SET08642;SET08646;SET08682
CysC	;SET00509;SET04928
Sat	;SET00529;SET04929
SpeA	;SET00566
GbsB	;SET00623;SET00624;SET00754;SET01041;SET02124;SET04805;SET04880;SET05233;SET05234;SET06917;SET06927;SET07105;SET07326;SET07327;SET08281;SET08306;SET08310;SET08557;SET08558
YitJ	;SET00650
Def	;SET00653;SET05635
YlmB	;SET00669
YodQ	;SET00669
PheA	;SET00691;SET01373
MtlD	;SET00758;SET02703
Fbp	;SET00762;SET01845;SET04780
GlmS	;SET00768
YdhS	;SET00772;SET01819
YjcJ	;SET00782;SET01285;SET01286;SET02408;SET04941
SacX	;SET00811;SET02630;SET02631;SET02704;SET02738;SET02780;SET03076;SET03232;SET04076;SET04111;SET04393;SET04394;SET05132;SET05199;SET05570;SET05820;SET06212;SET06229;SET06236;SET06237;SET07671;SET08366;SET08367;SET08559
Zwf	;SET00835;SET02736
MalA	;SET00837;SET00837;SET00838;SET00838;SET06113;SET06113;SET06115;SET06115
TreA	;SET00837;SET00837;SET06113;SET06113
GpsA	;SET00842;SET00844
GlpD	;SET00848;SET00848;SET00849;SET00849;SET08657;SET08657
TagD	;SET00856
GutB	;SET00875;SET00875;SET07145;SET07145
YrhA	;SET00897;SET00897;SET03132;SET03132;SET03601;SET03601;SET04859;SET04859
GlyA	;SET00945;SET00945
YhxB	;SET00959;SET01057;SET01818;SET03319;SET08639
PyrR	;SET00966
Upp	;SET00966
MgsA	;SET01016
Prs	;SET01049
NudF	;SET01054
YwlF	;SET01056;SET01056
HisG	;SET01071
BirA	;SET01074;SET05145;SET01074;SET04562;SET05145
BioB	;SET01078;SET01078
ArgH	;SET01086
YbgE	;SET01090;SET01214;SET02199;SET01090;SET01214;SET02199
LacA	;SET01105;SET01105;SET01106;SET01678;SET01678;SET03355;SET03355;SET03616;SET03616;SET04633;SET04633;SET04783;SET04783;SET05112;SET05112;SET05994;SET05994;SET06010;SET06098;SET06099;SET06114;SET06144;SET06202;SET07807
YpgA	;SET01123
GuaB	;SET01130;SET01231;SET08240;SET08244
Ddl	;SET01150
SpeB	;SET01157
HisD	;SET01158;SET01163;SET03012
Idh	;SET01183;SET01183
YktC	;SET01185;SET01186;SET01187;SET07343
LeuA	;SET01213;SET06010;SET06098;SET06099;SET06144;SET06202;SET07807
PanB	;SET01216;SET01226
GuaA	;SET01230;SET01231;SET08244
AdeC	;SET01244;SET06137
MenA	;SET01288;SET05555;SET05617;SET06858;SET07411
CitB	;SET01324;SET01324;SET01325;SET01325;SET01900;SET01900
YdhT	;SET01332;SET08612
YngG	;SET01360
YxjF	;SET01361
FabI	;SET01403;SET04429;SET04724;SET04955;SET04958;SET04961;SET04966;SET04969
FabL	;SET01403;SET04429;SET04724;SET04955;SET04958;SET04961;SET04966;SET04969
YtnL	;SET01424
