Object Name in SGD	key	alias	Taxon ID
S000000452	HIS7	YBR248C	taxon:4932
S000000452	HIS7	YBR248C	taxon:4932
S000003816	HIT1	YJR055W	taxon:4932
S000003816	HIT1	YJR055W	taxon:4932
S000003816	HIT1	YJR055W	taxon:4932
S000003816	HIT1	YJR055W	taxon:4932
S000002828	HKR1	YDR420W	taxon:4932
S000002828	HKR1	YDR420W	taxon:4932
S000002828	HKR1	YDR420W	taxon:4932
S000002828	HKR1	YDR420W	taxon:4932
S000002828	HKR1	YDR420W	taxon:4932
S000002828	HKR1	YDR420W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000004771	HLJ1	YMR161W	taxon:4932
S000002936	HLR1	YDR528W	taxon:4932
S000002936	HLR1	YDR528W	taxon:4932
S000002936	HLR1	YDR528W	taxon:4932
S000000859	HMF1	YER057C|HIG1	taxon:4932
S000000859	HMF1	YER057C|HIG1	taxon:4932
S000000859	HMF1	YER057C|HIG1	taxon:4932
S000000859	HMF1	YER057C|HIG1	taxon:4932
S000000859	HMF1	YER057C|HIG1	taxon:4932
S000004540	HMG1	YML075C	taxon:4932
S000004540	HMG1	YML075C	taxon:4932
S000004540	HMG1	YML075C	taxon:4932
S000004540	HMG1	YML075C	taxon:4932
S000004540	HMG1	YML075C	taxon:4932
S000004442	HMG2	YLR450W	taxon:4932
S000004442	HMG2	YLR450W	taxon:4932
S000004442	HMG2	YLR450W	taxon:4932
S000004442	HMG2	YLR450W	taxon:4932
S000004442	HMG2	YLR450W	taxon:4932
S000005455	HMI1	YOL095C	taxon:4932
S000005455	HMI1	YOL095C	taxon:4932
S000005455	HMI1	YOL095C	taxon:4932
S000000571	HMLALPHA1	YCL066W|ALPHA1	taxon:4932
S000000571	HMLALPHA1	YCL066W|ALPHA1	taxon:4932
S000000571	HMLALPHA1	YCL066W|ALPHA1	taxon:4932
S000000571	HMLALPHA1	YCL066W|ALPHA1	taxon:4932
S000000572	HMLALPHA2	YCL067C|ALPHA2	taxon:4932
S000000572	HMLALPHA2	YCL067C|ALPHA2	taxon:4932
S000000572	HMLALPHA2	YCL067C|ALPHA2	taxon:4932
S000000572	HMLALPHA2	YCL067C|ALPHA2	taxon:4932
S000000572	HMLALPHA2	YCL067C|ALPHA2	taxon:4932
S000002581	HMO1	YDR174W|HSM2	taxon:4932
S000002581	HMO1	YDR174W|HSM2	taxon:4932
S000002581	HMO1	YDR174W|HSM2	taxon:4932
S000002581	HMO1	YDR174W|HSM2	taxon:4932
S000002581	HMO1	YDR174W|HSM2	taxon:4932
S000002581	HMO1	YDR174W|HSM2	taxon:4932
S000002581	HMO1	YDR174W|HSM2	taxon:4932
S000000694	HMRA1	YCR097W|YCR097WB	taxon:4932
S000000694	HMRA1	YCR097W|YCR097WB	taxon:4932
S000000694	HMRA1	YCR097W|YCR097WB	taxon:4932
S000000692	HMRA2	YCR096C|A2	taxon:4932
S000000692	HMRA2	YCR096C|A2	taxon:4932
S000000692	HMRA2	YCR096C|A2	taxon:4932
S000005558	HMS1	YOR032C	taxon:4932
S000005558	HMS1	YOR032C	taxon:4932
S000005558	HMS1	YOR032C	taxon:4932
S000003908	HMS2	YJR147W	taxon:4932
S000003908	HMS2	YJR147W	taxon:4932
S000003908	HMS2	YJR147W	taxon:4932
S000003908	HMS2	YJR147W	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000004195	HMX1	YLR205C	taxon:4932
S000003045	HNM1	YGL077C	taxon:4932
S000003045	HNM1	YGL077C	taxon:4932
S000003045	HNM1	YGL077C	taxon:4932
S000003045	HNM1	YGL077C	taxon:4932
S000003045	HNM1	YGL077C	taxon:4932
S000003045	HNM1	YGL077C	taxon:4932
S000002283	HNT1	YDL125C	taxon:4932
S000002283	HNT1	YDL125C	taxon:4932
S000002283	HNT1	YDL125C	taxon:4932
S000002283	HNT1	YDL125C	taxon:4932
S000002283	HNT1	YDL125C	taxon:4932
S000002283	HNT1	YDL125C	taxon:4932
S000002713	HNT2	YDR305C|APH1	taxon:4932
S000002713	HNT2	YDR305C|APH1	taxon:4932
S000002713	HNT2	YDR305C|APH1	taxon:4932
S000002713	HNT2	YDR305C|APH1	taxon:4932
S000002713	HNT2	YDR305C|APH1	taxon:4932
S000002713	HNT2	YDR305C|APH1	taxon:4932
S000005784	HNT3	YOR258W	taxon:4932
S000005784	HNT3	YOR258W	taxon:4932
S000005784	HNT3	YOR258W	taxon:4932
S000005784	HNT3	YOR258W	taxon:4932
S000002386	HO	YDL227C	taxon:4932
S000002386	HO	YDL227C	taxon:4932
S000002386	HO	YDL227C	taxon:4932
S000002386	HO	YDL227C	taxon:4932
S000002386	HO	YDL227C	taxon:4932
S000003836	HOC1	YJR075W	taxon:4932
S000003836	HOC1	YJR075W	taxon:4932
S000003836	HOC1	YJR075W	taxon:4932
S000003836	HOC1	YJR075W	taxon:4932
S000003836	HOC1	YJR075W	taxon:4932
S000003836	HOC1	YJR075W	taxon:4932
S000004635	HOF1	YMR032W|CYK2	taxon:4932
S000004635	HOF1	YMR032W|CYK2	taxon:4932
S000004635	HOF1	YMR032W|CYK2	taxon:4932
S000004635	HOF1	YMR032W|CYK2	taxon:4932
S000004635	HOF1	YMR032W|CYK2	taxon:4932
S000004103	HOG1	YLR113W|SSK3	taxon:4932
S000004103	HOG1	YLR113W|SSK3	taxon:4932
S000004103	HOG1	YLR113W|SSK3	taxon:4932
S000004103	HOG1	YLR113W|SSK3	taxon:4932
S000004103	HOG1	YLR113W|SSK3	taxon:4932
S000004103	HOG1	YLR113W|SSK3	taxon:4932
S000004103	HOG1	YLR113W|SSK3	taxon:4932
S000005338	HOL1	YNR055C	taxon:4932
S000005338	HOL1	YNR055C	taxon:4932
S000005338	HOL1	YNR055C	taxon:4932
S000005338	HOL1	YNR055C	taxon:4932
S000005338	HOL1	YNR055C	taxon:4932
S000005338	HOL1	YNR055C	taxon:4932
S000005338	HOL1	YNR055C	taxon:4932
S000002565	HOM2	YDR158W	taxon:4932
S000002565	HOM2	YDR158W	taxon:4932
S000002565	HOM2	YDR158W	taxon:4932
S000002565	HOM2	YDR158W	taxon:4932
S000002565	HOM2	YDR158W	taxon:4932
S000002565	HOM2	YDR158W	taxon:4932
S000000854	HOM3	YER052C|BOR1|SIL4	taxon:4932
S000000854	HOM3	YER052C|BOR1|SIL4	taxon:4932
S000000854	HOM3	YER052C|BOR1|SIL4	taxon:4932
S000000854	HOM3	YER052C|BOR1|SIL4	taxon:4932
S000000854	HOM3	YER052C|BOR1|SIL4	taxon:4932
S000003900	HOM6	YJR139C	taxon:4932
S000003900	HOM6	YJR139C	taxon:4932
S000003900	HOM6	YJR139C	taxon:4932
S000003900	HOM6	YJR139C	taxon:4932
S000003900	HOM6	YJR139C	taxon:4932
S000003900	HOM6	YJR139C	taxon:4932
S000003900	HOM6	YJR139C	taxon:4932
S000001334	HOP1	YIL072W	taxon:4932
S000001334	HOP1	YIL072W	taxon:4932
S000001334	HOP1	YIL072W	taxon:4932
S000001334	HOP1	YIL072W	taxon:4932
S000001334	HOP1	YIL072W	taxon:4932
S000003001	HOP2	YGL033W	taxon:4932
S000003001	HOP2	YGL033W	taxon:4932
S000003001	HOP2	YGL033W	taxon:4932
S000003001	HOP2	YGL033W	taxon:4932
S000003001	HOP2	YGL033W	taxon:4932
S000000864	HOR2	YER062C|GPP2	taxon:4932
S000000864	HOR2	YER062C|GPP2	taxon:4932
S000000864	HOR2	YER062C|GPP2	taxon:4932
S000000864	HOR2	YER062C|GPP2	taxon:4932
S000000864	HOR2	YER062C|GPP2	taxon:4932
S000000864	HOR2	YER062C|GPP2	taxon:4932
S000004864	HOR7	YMR251W-A	taxon:4932
S000004864	HOR7	YMR251W-A	taxon:4932
S000004864	HOR7	YMR251W-A	taxon:4932
S000004864	HOR7	YMR251W-A	taxon:4932
S000004864	HOR7	YMR251W-A	taxon:4932
S000004864	HOR7	YMR251W-A	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
S000006272	HOS1	YPR068C	taxon:4932
