id	symbol	sid	xref_key	xref_dbname
1868147	ARC35	97048	YNR035C	SGD
1868148	ARC40	97048	YBR234C	SGD
1868149	ARD1	97048	YHR013C	SGD
1868150	ARE1	97048	SAT2	SGD
1868150	ARE1	97048	YCR048W	SGD
1868151	ARE2	97048	SAT1	SGD
1868151	ARE2	97048	YNR019W	SGD
1868152	ARF1	97048	YDL192W	SGD
1868153	ARF2	97048	YDL137W	SGD
1868154	ARF3	97048	ARL2	SGD
1868154	ARF3	97048	YOR094W	SGD
1868155	ARG1	97048	ARG10	SGD
1868155	ARG1	97048	YOL058W	SGD
1868156	ARG2	97048	HRB574	SGD
1868156	ARG2	97048	YJL071W	SGD
1868157	ARG3	97048	YJL088W	SGD
1868158	ARG4	97048	YHR018C	SGD
1868159	ARG5,6	97048	YER069W	SGD
1868160	ARG8	97048	YOL140W	SGD
1868161	ARG80	97048	ARGR1	SGD
1868161	ARG80	97048	YMR042W	SGD
1868162	ARG81	97048	ARGR2	SGD
1868162	ARG81	97048	YML099C	SGD
1868163	ARG82	97048	ARGR3	SGD
1868163	ARG82	97048	IPK2	SGD
1868163	ARG82	97048	YDR173C	SGD
1868165	ARH1	97048	YDR376W	SGD
1868166	ARK1	97048	YNL020C	SGD
1868167	ARL1	97048	DLP2	SGD
1868167	ARL1	97048	YBR164C	SGD
1868168	ARL3	97048	YPL051W	SGD
1868169	ARN1	97048	YHL040C	SGD
1868170	ARN2	97048	TAF1	SGD
1868170	ARN2	97048	YHL047C	SGD
1868171	ARO1	97048	YDR127W	SGD
1868172	ARO10	97048	YDR380W	SGD
1868173	ARO2	97048	YGL148W	SGD
1868174	ARO3	97048	YDR035W	SGD
1868175	ARO4	97048	YBR249C	SGD
1868176	ARO7	97048	HGS1	SGD
1868176	ARO7	97048	OSM2	SGD
1868176	ARO7	97048	TYR7	SGD
1868176	ARO7	97048	YPR060C	SGD
1868177	ARO8	97048	YGL202W	SGD
1868178	ARO80	97048	YDR421W	SGD
1868179	ARO9	97048	YHR137W	SGD
1868180	ARP1	97048	ACT5	SGD
1868180	ARP1	97048	YHR129C	SGD
1868181	ARP10	97048	YDR106W	SGD
1868182	ARP2	97048	ACT2	SGD
1868182	ARP2	97048	YDL029W	SGD
1868183	ARP3	97048	ACT4	SGD
1868183	ARP3	97048	YJR065C	SGD
1868184	ARP4	97048	ACT3	SGD
1868184	ARP4	97048	YJL081C	SGD
1868185	ARP5	97048	YNL059C	SGD
1868186	ARP6	97048	YLR085C	SGD
1868187	ARP7	97048	SWP61	SGD
1868187	ARP7	97048	YPR034W	SGD
1868188	ARP8	97048	YOR141C	SGD
1868189	ARP9	97048	SWP59	SGD
1868189	ARP9	97048	YMR033W	SGD
1868190	ARR1	97048	ACR1	SGD
1868190	ARR1	97048	YAP8	SGD
1868190	ARR1	97048	YPR199C	SGD
1868191	ARR2	97048	ACR2	SGD
1868191	ARR2	97048	YPR200C	SGD
1868192	ARR3	97048	ACR3	SGD
1868192	ARR3	97048	YPR201W	SGD
1868193	ARV1	97048	YLR242C	SGD
1868194	ARX1	97048	YDR101C	SGD
1868195	ASC1	97048	CPC2	SGD
1868195	ASC1	97048	YMR116C	SGD
1868196	ASE1	97048	YOR058C	SGD
1868196	ASE1	97048	YOR29-09	SGD
1868197	ASF1	97048	CIA1	SGD
1868197	ASF1	97048	YJL115W	SGD
1868198	ASF2	97048	YDL197C	SGD
1868199	ASG1	97048	YIL130W	SGD
1868200	ASG7	97048	YJL170C	SGD
1868201	ASH1	97048	YKL185W	SGD
1868202	ASI1	97048	YMR119W	SGD
1868203	ASI2	97048	YNL159C	SGD
1868204	ASI3	97048	YNL008C	SGD
1868205	ASK1	97048	YKL052C	SGD
1868206	ASK10	97048	YGR097W	SGD
1868207	ASM4	97048	NUP59	SGD
1868207	ASM4	97048	YDL088C	SGD
1868208	ASN1	97048	YPR145W	SGD
1868209	ASN2	97048	YGR124W	SGD
1868210	ASP1	97048	YDR321W	SGD
1868211	ASP3-1	97048	ASP3	SGD
1868211	ASP3-1	97048	YLR155C	SGD
1868212	ASP3-2	97048	ASP3	SGD
